id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230218-173839-6237-deep-talk,2.0,4.8947888582726495,0.0001,0.0167805291938694,0.0810802836929879,1676741919.624691,1676747470.681326,bayesian-optimization
230218-172301-6201-flat-test,2.0,4.535788156384642,0.0001345947008101,0.018014102615087,0.0656464804169699,1676740981.621156,1676746473.54351,bayesian-optimization
230218-172111-7855-even-goal,2.0,4.884684362090885,0.0001,0.0167760981528707,0.0815380664357325,1676740871.786534,1676746086.459988,bayesian-optimization
230218-170642-8427-deep-salt,1.7328932426960575,13.769600021019013,0.3121655488222202,0.1402734827047644,0.153003638841318,1676740002.843558,1676745727.590426,random
230218-172927-5331-evil-deal,2.0,4.557779203428583,0.0001352143007466,0.0180698991218425,0.0668157013514442,1676741367.534156,1676745371.624474,bayesian-optimization
230218-172100-9561-pale-rule,2.0,4.884686909504003,0.0001,0.0167760980004788,0.0815382211984659,1676740860.956944,1676744942.392305,bayesian-optimization
230218-155802-6482-wiry-snow,0.3279399014661347,13.66319582031704,0.1272145603128681,0.0121417238224447,0.0490600212978288,1676735882.649049,1676743629.872875,random
230218-155629-0785-firm-food,1.662267147289888,7.780558560226246,0.0952581411625347,0.0776683003783721,0.0911902481714274,1676735789.081121,1676743209.114798,random
230218-194214-6904-ajar-lack,0.8731555875824557,3.9722850732718,0.0942394610040417,0.0327098940302836,0.0419583299367813,1676749334.691421,1676757221.858016,bayesian-optimization
230218-192850-2350-sick-form,0.8697992808799074,3.973972184639426,0.0943100699284604,0.0325882400531995,0.0418548413463869,1676748530.236143,1676756379.608928,bayesian-optimization
230218-181000-3542-cool-mail,2.0,4.180087632607811,0.0001581485723741,0.0219522024436054,0.1188754901385055,1676743800.355224,1676751624.475074,bayesian-optimization
230218-183907-4858-calm-hair,0.1,9.342678904563709,1.0,0.0528085599635533,0.0665318380383708,1676745547.48678,1676751597.923045,bayesian-optimization
230218-191327-7438-tart-gene,0.8659608291711464,3.9756064766490193,0.0947455849569386,0.0324763159402055,0.0417523485831712,1676747607.744832,1676751578.384521,bayesian-optimization
230218-185657-8613-left-pace,0.1,9.260288070324776,1.0,0.0535274168418575,0.0679018287418146,1676746617.862387,1676751318.82705,bayesian-optimization
230218-180225-0777-mean-book,2.0,4.528791165462586,0.0001326351667426,0.0179659342214508,0.0648147181763862,1676743345.078763,1676750824.023609,bayesian-optimization
230218-185027-3091-calm-snow,0.1,9.24023575160706,1.0,0.0538870584154414,0.068380734889047,1676746227.310145,1676750746.676061,bayesian-optimization
230218-184428-2715-wise-feel,0.1,9.236841567983276,1.0,0.0539536252026455,0.0684650278698659,1676745868.272666,1676750415.660566,bayesian-optimization
230218-183112-6019-soft-cold,0.1,7.446784145263757,1.0,0.0511609498044273,0.0613349146774705,1676745072.602907,1676749343.998261,bayesian-optimization
230218-202230-7802-next-area,0.3329903586321622,5.301513317934687,0.0400795107952568,0.0059780774387309,0.0315735434011555,1676751750.781316,1676756250.045037,bayesian-optimization
230218-200831-8118-fake-body,0.8836780516768022,3.96850269341186,0.0935970122356964,0.033038984326422,0.0422343677768077,1676750911.81276,1676756248.300989,bayesian-optimization
230218-202200-9586-cold-suck,0.1,5.085956666304583,0.015443053412122,0.0115553213059522,0.0431424359686292,1676751720.959645,1676755751.573053,bayesian-optimization
230218-201727-7251-kind-pain,0.9190056423804728,3.797967950637953,0.0902473392005347,0.0361536981581948,0.0470780311046555,1676751447.72609,1676755410.122171,bayesian-optimization
230218-200227-5564-lost-blow,0.9088553107268206,3.808248089001221,0.0911792731894115,0.0357875720336587,0.0466408409591727,1676750547.557286,1676754523.249494,bayesian-optimization
230218-194443-5036-damp-wing,0.9097173835831256,3.8064227325476585,0.0908632073987724,0.0358140458999266,0.0466930937570866,1676749483.504727,1676753374.042366,bayesian-optimization
230218-215645-8670-true-star,0.1,6.012694110271764,0.0107235967603434,0.0073776331192727,0.0476924170475402,1676757405.868022,1676765443.197038,bayesian-optimization
230218-213946-2624-both-book,0.1,6.011169215730132,0.0106760556591974,0.0073585759773604,0.0476961970908822,1676756386.263253,1676760526.613267,bayesian-optimization
230218-213959-4329-evil-pair,0.3980746760232172,5.699070289531144,0.0123139334508162,0.0032663956128581,0.034676117908579,1676756399.433878,1676760496.508799,bayesian-optimization
230218-202333-0200-cold-pick,0.3329904699479506,5.30151283001868,0.0400795966982664,0.0059780849574508,0.0315735419645657,1676751813.020948,1676759828.834868,bayesian-optimization
230218-212543-1314-used-harm,0.3155913237989671,5.286173102114431,0.0411840908823875,0.0058905608320395,0.0312610374879409,1676755543.132505,1676759619.258112,bayesian-optimization
230218-205209-1578-dead-blue,0.3308298575843595,5.295279644995317,0.0403373078114908,0.0059831515240544,0.0315238263944375,1676753529.158756,1676759129.464464,bayesian-optimization
230218-201016-7189-soft-wall,0.7830217261055468,4.1327001354357,0.1079162766504156,0.0282422335324844,0.0379295525518084,1676751016.719953,1676758808.219078,bayesian-optimization
230218-225059-8973-wavy-hang,1.7796721271382263,5.899354487818805,0.0001,0.0125226605544652,0.0973739147606794,1676760659.898176,1676764811.351478,bayesian-optimization
230218-225031-1163-flat-dish,1.7796868959284398,5.899354561535518,0.0001,0.0125229517837107,0.0973741845522421,1676760631.141299,1676764772.941403,bayesian-optimization
230218-222810-9717-that-blow,0.2315494391523477,6.041139162793503,0.0225401356734433,0.0022557909538792,0.0315479432012566,1676759290.972756,1676764727.076976,bayesian-optimization
